infinitive,english,irregular,group,tags
ser,to be,yes,irregular,core
estar,to be,yes,irregular,core
tener,to have,yes,irregular,core
hacer,to do/make,yes,irregular,core
poder,to be able,yes,irregular,core
decir,to say/tell,yes,irregular,core
ir,to go,yes,irregular,core
ver,to see,yes,irregular,core
dar,to give,yes,irregular,core
saber,to know,yes,irregular,core
querer,to want,yes,irregular,core
llegar,to arrive,no,ar,common
pasar,to pass/happen,no,ar,common
deber,to owe/must,no,er,common
poner,to put,yes,irregular,core
parecer,to seem,yes,er,common
quedar,to stay/remain,no,ar,common
creer,to believe,yes,er,common
hablar,to speak,no,ar,basic
encontrar,to find,yes,ar,common
llevar,to carry/wear,no,ar,common
dejar,to leave/let,no,ar,common
sentir,to feel,yes,ir,common
tomar,to take,no,ar,common
llamar,to call,no,ar,common
venir,to come,yes,irregular,core
pensar,to think,yes,ar,common
salir,to leave/go out,yes,irregular,core
volver,to return,yes,er,common
seguir,to follow,yes,ir,common
conocer,to know,yes,er,common
vivir,to live,no,ir,basic
sentirse,to feel,yes,ir,common
trabajar,to work,no,ar,basic
perder,to lose,yes,er,common
empezar,to begin,yes,ar,common
buscar,to look for,no,ar,common
escribir,to write,no,ir,basic
producir,to produce,yes,ir,common
entrar,to enter,no,ar,common
considerar,to consider,no,ar,common
oír,to hear,yes,irregular,core
cambiar,to change,no,ar,common
pedir,to ask for,yes,ir,common
recibir,to receive,no,ir,common
usar,to use,no,ar,basic
entender,to understand,yes,er,common
mantener,to maintain,yes,irregular,common
comenzar,to start,yes,ar,common
presentar,to present,no,ar,common
crear,to create,no,ar,common
abrir,to open,no,ir,basic
leer,to read,yes,er,basic
realizar,to carry out,no,ar,common
recordar,to remember,yes,ar,common
terminar,to finish,no,ar,basic
permitir,to allow,no,ir,common
aparecer,to appear,yes,er,common
conseguir,to get/obtain,yes,ir,common
servir,to serve,yes,ir,common
sacar,to take out,no,ar,common
necesitar,to need,no,ar,basic
tratar,to treat/try,no,ar,common
mover,to move,yes,er,common
gustar,to like,no,ar,basic
levantar,to lift/raise,no,ar,common
comprar,to buy,no,ar,basic
comer,to eat,no,er,basic
beber,to drink,no,er,basic
aprender,to learn,no,er,basic
vender,to sell,no,er,common
comprender,to understand,no,er,common
correr,to run,no,er,basic
meter,to put in,no,er,common
romper,to break,no,er,common
temer,to fear,no,er,common
subir,to go up,no,ir,basic
partir,to leave/split,no,ir,common
